date,seller_id,impressions,clicks,CTR,conversions,CVR,revenue,CPC,spend,ROAS,three_month_ROAS_rolling_average
2023-01,S0001,90509,1651,1.82,73,4.42,6307.84,3.821,22140.85,3.51,NULL
2023-02,S0001,196736,3690,1.88,152,4.12,12822.27,3.475,40228.8,3.14,3.51
2023-03,S0001,242609,4298,1.77,181,4.21,15561.8,3.621,48982.96,3.15,3.26
2023-04,S0001,289516,6170,2.13,262,4.25,22899.88,3.711,76989.05,3.36,3.21
2023-05,S0001,547742,12306,2.25,646,5.25,56503.26,4.592,189489.92,3.35,3.24
2023-06,S0001,562665,12474,2.22,580,4.65,51021.56,4.09,167302.43,3.28,3.32
2023-07,S0001,492766,10978,2.23,515,4.69,45663.89,4.16,144928.63,3.17,3.33
2023-08,S0001,568359,12540,2.21,602,4.80,52448.48,4.182,169273.3,3.23,3.28
2023-09,S0001,657183,14353,2.18,759,5.29,67585.35,4.709,228119.12,3.38,3.23
2023-10,S0001,754391,16485,2.19,805,4.88,70634.67,4.285,225880.41,3.2,3.27
2023-11,S0001,818832,17530,2.14,789,4.50,69001.73,3.936,217517.65,3.15,3.27
2023-12,S0001,756489,15494,2.05,714,4.61,62631.23,4.042,207767.3,3.32,3.24
2024-01,S0001,481638,9440,1.96,441,4.67,38742.27,4.104,120670.02,3.11,3.22
2024-02,S0001,311243,6394,2.05,297,4.64,25993.58,4.065,87265.51,3.36,3.2
2024-03,S0001,350611,7521,2.15,369,4.91,32645.27,4.341,102292.79,3.13,3.26
2024-04,S0001,354132,7289,2.06,328,4.50,29148.18,3.999,89911.44,3.08,3.19
2024-05,S0001,354677,8040,2.27,355,4.42,31128.74,3.872,92332.17,2.97,3.18
2024-06,S0001,183751,3062,1.67,137,4.47,12010.63,3.922,37800.93,3.15,3.06
2023-01,S0002,179484,4253,2.37,263,6.18,30569.43,7.188,98547.46,3.22,NULL
2023-02,S0002,233147,5379,2.31,298,5.54,33243.64,6.18,98470.97,2.96,3.22
2023-03,S0002,277658,6458,2.33,342,5.30,37877.23,5.865,109434.78,2.89,3.09
2023-04,S0002,444653,11994,2.70,602,5.02,66550.47,5.549,199166.8,2.99,3.01
2023-05,S0002,578045,13428,2.32,714,5.32,80562.6,6,252413.61,3.13,2.96
2023-06,S0002,581074,14306,2.46,750,5.24,84119.44,5.88,279195.99,3.32,3.03
2023-07,S0002,535137,13693,2.56,737,5.38,82077.32,5.994,264860.66,3.23,3.16
2023-08,S0002,538293,14180,2.63,809,5.71,92967.84,6.556,301895.75,3.25,3.23
2023-09,S0002,749132,18222,2.43,951,5.22,106836.67,5.863,322264.69,3.02,3.26
2023-10,S0002,838285,20443,2.44,1036,5.07,114317.14,5.592,351291.27,3.07,3.15
2023-11,S0002,1069841,24939,2.33,1343,5.39,149770.53,6.005,472324.28,3.15,3.11
2023-12,S0002,1228218,26975,2.20,1408,5.22,153985.14,5.708,446929.5,2.9,3.09
2024-01,S0002,923545,20908,2.26,1128,5.40,127396.72,6.093,420786.7,3.3,3.04
2024-02,S0002,623253,15109,2.42,777,5.14,86134.46,5.701,278540.3,3.23,3.11
2024-03,S0002,526982,12013,2.28,610,5.08,67019.58,5.579,224393.38,3.35,3.12
2024-04,S0002,458055,10746,2.35,561,5.22,63153.94,5.877,180976.95,2.87,3.29
2024-05,S0002,459724,11071,2.41,515,4.65,58217.69,5.259,184083.58,3.16,3.16
2023-01,S0003,20842,434,2.08,11,2.53,754.6,1.739,1866.1,2.47,NULL
2023-02,S0003,132983,2450,1.84,87,3.55,6703.32,2.736,23051.67,3.44,2.47
2023-03,S0003,154678,2704,1.75,91,3.37,6917.93,2.558,23457.27,3.39,3.34
2023-04,S0003,165357,3380,2.04,132,3.91,9880.77,2.923,30150.74,3.05,3.37
2023-05,S0003,185135,3522,1.90,128,3.63,9664.81,2.744,30436.67,3.15,3.26
2023-06,S0003,198753,3458,1.74,139,4.02,10467.08,3.027,34992.42,3.34,3.18
2023-07,S0003,167263,2908,1.74,129,4.44,9784.3,3.365,30237.89,3.09,3.18
2023-08,S0003,181406,3209,1.77,130,4.05,10233.23,3.189,33194.31,3.24,3.2
2023-09,S0003,180041,3168,1.76,136,4.29,10044.41,3.171,32026.17,3.19,3.23
2023-10,S0003,211476,4169,1.97,183,4.39,13619.31,3.267,40299.8,2.96,3.18
2023-11,S0003,231941,3926,1.69,170,4.33,13466.02,3.43,40922.4,3.04,3.11
2023-12,S0003,267804,4695,1.75,157,3.34,12020.99,2.56,41043.91,3.41,3.05
2024-01,S0003,201384,3673,1.82,170,4.63,12831.72,3.494,39065.84,3.04,3.13
2024-02,S0003,142670,2357,1.65,107,4.54,8084.41,3.43,24986.36,3.09,3.16
2024-03,S0003,153175,2902,1.89,133,4.58,10208.43,3.518,32749.04,3.21,3.19
2024-04,S0003,154856,3016,1.95,113,3.75,8651.63,2.869,26449.94,3.06,3.11
2024-05,S0003,162816,2760,1.70,123,4.46,9371.23,3.395,32139.01,3.43,3.12
2024-06,S0003,74200,1238,1.67,40,3.23,3000.41,2.424,9779.05,3.26,3.24
2023-01,S0004,38086,576,1.51,18,3.13,638.63,1.109,2100.95,3.29,NULL
2023-02,S0004,30675,509,1.66,16,3.14,576.35,1.132,1881.64,3.26,3.29
2023-03,S0004,35759,476,1.33,16,3.36,562.43,1.182,1543.04,2.74,3.28
2023-04,S0004,36103,614,1.70,21,3.42,739.4,1.204,2458.03,3.32,3.11
2023-05,S0004,56412,954,1.69,36,3.77,1255.39,1.316,3771.07,3,3.13
2023-06,S0004,69582,1230,1.77,48,3.90,1683.73,1.369,5347.64,3.18,3.04
2023-07,S0004,59037,1135,1.92,45,3.96,1550.59,1.366,5031.19,3.24,3.15
2023-08,S0004,61439,1208,1.97,47,3.89,1652.79,1.368,5343.14,3.23,3.15
2023-09,S0004,67190,1244,1.85,54,4.34,1871.72,1.505,5786.94,3.09,3.22
2023-10,S0004,75267,1399,1.86,56,4.00,1960.67,1.401,6488.89,3.31,3.18
